CustomerID,Age,Gender,Province,City,JoinDate,TenureYears_Reported,PrimaryAccountType,NumProductsHeld,AccountBalance,CreditScore,AnnualIncome,MonthlyTransactions,ComplaintsLast12M,HasOnlineBanking,HasMobileApp,PreferredChannel,MaritalStatus,EmploymentStatus,LastContactDate,Churned
CUS11778,46.0,FEMALE,Nova Scotia,Sydney,2011-10-03,13.2,Savings,4,"$2,088.00",650.0,,14,0,Y,No,Online banking,Single,Student,28/03/2015,No
CUS11171,50.0,Non-binary,British Columbia,Vancouver,31/12/2016,,TFSA,4,"$2,596.42",663.0,"$58,100",9,0,0,Y,online,Divorced,,2018-05-19,No
CUS11309,20.0,F,quebec,Quebec City,2018-03-04,6.8,Credit Card,4,594.84,612.0,107K,30,0,1,N,Branch,Married,Unemployed,05/08/2023,No
CUS12840,45.0,Female,pei, Charlottetown ,2013-06-19,11.5,Credit Card,2,-1056.33,-1.0,,4,0,1,No,phone,Married,Student,23/10/2014,No
CUS14002,37.0,Male,NS,Halifax,03-Jul-2020,4.5,Personal Loan,1,"$3,633.01",683.0,38K,28,0,N,TRUE,Mobile,Divorced,Unemployed,2023-11-16,No
CUS13893,54.0,female,Ontario,Ottawa,10-16-2011,13.2,Credit Card,2,"$5,789.51",715.0,37300.0,0,0,N,Yes,Phone,Married,Part-Time,"April 29, 2024",Yes
CUS10195,42.0,non-binary,BC,Victoria,03/11/2019,5.2,Chequing,2,7519.73,687.0,51800.0,18,0,Y,No,Online,Divorced,Student,2022-08-22,No
CUS12262,38.0,FEMALE,saskatchewan,Saskatoon,2016-08-21,8.4,RRSP,2,1140.01,539.0,43900.0,14,0,No,Y,Mobile App,Widowed,Retired,04-27-2022,No
CUS10514,44.0,female,british columbia,Kelowna,2017-08-25,7.4,RRSP,1,23097.73,624.0,"$57,700",9,0,N,No,Branch ,Married,Unemployed,09-04-2020,No
CUS13699,59.0,M,Manitoba,Brandon,25/05/2011,13.6,Chequing,3,1331.0,548.0,67400.0,10,0,No,Yes,mobile app,Married,Full-Time,2018-05-02,Yes
CUS13868,39.0,Female,PE,Charlottetown,2018-09-16,6.3,Personal Loan,3,9284.33,577.0,54400.0,10,0,No,Yes,Online Banking,Single,Student,2019-08-16,No
CUS12468,37.0,female,Saskatchewan,Regina,05/04/2017,7.7,Credit Card,2,"$8,990.05",655.0,"$60,700",17,2,Yes,Yes,mobile app,Divorced,Retired,12-12-2017,Yes
CUS14191,27.0,,new brunswick,Moncton,"July 10, 2020",4.5,Mortgage,2,"$5,566.89",788.0,49200.0,20,1,No,N,Online banking,Married,Student,30/07/2023,Yes
CUS10394,30.0,Male,NB,Saint John,2022-10-04,2.2,TFSA,1,1697.25,621.0,"$33,200",20,0,1,No,Online banking,Single,,"August 03, 2024",Yes
CUS13116,30.0,MALE,pei,Charlottetown,29/03/2016,8.8,Credit Card,2,7023.82,804.0,"$133,700",15,0,Y,Yes,phone,Widowed,Part-Time,08-21-2021,Yes
CUS12421,41.0,FEMALE,SK,Saskatoon,14-Mar-2023,1.8,TFSA,3,22487.6,788.0,"$38,200",19,3,No,N,Phone Banking,Single,Full-Time,2024-04-09,Yes
CUS14167,24.0,Male,pei,Charlottetown,2011-09-11,13.3,Personal Loan,3,7037.18,595.0,75K,4,1,1,Yes,phone,Widowed,Full-Time,2017-01-19,No
CUS13071,50.0,female,ON,Mississauga,14/06/2017,7.5,Chequing,2,"$4,042.17",591.0,33600.0,14,2,Yes,0,Online Banking,Married,Full-Time,03-Mar-2018,Yes
CUS12418,18.0,Female,manitoba,Winnipeg,17/02/2019,5.9,Chequing,5,2762.92,629.0,"$50,000",9,2,Yes,No,Phone Banking,Widowed,Retired,"July 06, 2022",No
CUS10541,-5.0,Female,Quebec,Gatineau,2015-01-14,10.0,Chequing,3,"$7,217.08",591.0,48K,26,0,No,Yes,Phone,Widowed,Unemployed,14-Apr-2018,No
CUS13718,47.0,non-binary,NL,St. John's,2012-10-11,12.2,TFSA,3,1444.5,679.0,71K,14,0,No,No,App,Single,Full-Time,2013-07-01,No
CUS10579,35.0,Male,alberta,Lethbridge,2011-12-16,13.0,Personal Loan,3,6120.31,581.0,27900.0,12,1,No,No,online,Widowed,Full-Time,"September 03, 2015",Yes
CUS11424,43.0,male,manitoba,Winnipeg,2017-12-29,7.0,Credit Card,4,529.11,846.0,85K,7,3,Yes,0,Online banking,Widowed,Self-Employed,2021-02-08,Yes
CUS12217,41.0,female,new brunswick,Saint John,16/10/2015,9.2,Personal Loan,3,"$6,771.76",700.0,101K,27,2,Yes,No,Online,Divorced,Part-Time,2015-11-29,Yes
CUS11562,-5.0,Female,new brunswick, Moncton ,2017-04-05,7.7,Mortgage,1,"$12,840.78",723.0,59200.0,21,0,No,0,Mobile App,Single,Student,05-05-2020,No
CUS13037,18.0,MALE,Saskatchewan,Regina,2019-05-16,5.6,Savings,2,1694.78,647.0,44K,28,0,TRUE,No,phone,Single,Unemployed,2023-09-02,No
CUS10659,32.0,male,QC,Montreal,28-Feb-2019,5.8,Savings,4,257.79,674.0,"$33,600",2,0,No,No,In-Branch,Widowed,Part-Time,18-Jan-2024,No
CUS12499,45.0,,Newfoundland and Labrador,St. John's,24/03/2022,2.8,Mortgage,2,2819.49,657.0,50K,14,0,Yes,Yes,Phone Banking,Single,Retired,2023-10-29,Yes
CUS14018,40.0,female,British Columbia,Kelowna,2015-12-16,9.0,Personal Loan,4,"$10,873.84",724.0,37K,9,0,Y,Yes,Branch,Married,Self-Employed,27-Dec-2017,No
CUS11694,46.0,male,newfoundland, St. John's ,19/07/2010,14.5,Credit Card,4,$-860.94,692.0,112K,4,0,No,Yes,Online,Single,Full-Time,2014-10-01,No
CUS11860,31.0,male,ON,Ottawa,05-22-2015,9.6,RRSP,5,"$3,184.36",657.0,62K,19,0,Yes,Yes,Branch,Single,Student,10-15-2021,No
CUS11257,30.0,male,NB,Moncton,2010-02-09,14.9,Chequing,2,"$4,844.10",760.0,"$82,200",17,1,N,Yes,Branch ,Widowed,Retired,2022-05-23,No
CUS10988,51.0,Male,Prince Edward Island, Charlottetown ,2018-01-23,6.9,Credit Card,4,"$4,018.26",569.0,"$145,600",18,2,No,No,Online Banking,Divorced,Part-Time,2024-03-15,Yes
CUS14098,29.0,MALE,AB,Edmonton,2023-03-20,1.8,Chequing,1,22588.91,629.0,"$42,000",21,0,0,No,mobile app,Divorced,Unemployed,08-26-2023,No
CUS11579,72.0,non-binary,PE,Charlottetown,30-Jul-2012,12.4,Credit Card,1,-371.95,796.0,73K,0,0,N,Yes,Online,Married,Self-Employed,06-Dec-2017,Yes
CUS13092,34.0,MALE,Saskatchewan,Saskatoon,2018-05-14,6.6,Savings,3,2375.69,,"$44,200",35,0,0,Y,Online,Married,Student,2020-04-06,No
CUS11559,42.0,MALE,Nova Scotia,Sydney,2017-07-05,7.5,Chequing,1,"$7,027.65",678.0,35K,0,0,No,No,Phone,Married,Unemployed,06-09-2018,No
CUS11298,37.0,Male,NL,Corner Brook,"June 21, 2023",1.5,Savings,1,"$1,890.50",757.0,34800.0,23,0,Yes,No,App,Single,Part-Time,"September 03, 2024",Yes
CUS13749,46.0,FEMALE,BC,Victoria,24/03/2021,3.8,TFSA,2,"$3,985.25",736.0,54600.0,23,0,N,1,,Widowed,Self-Employed,03-30-2023,No
CUS13752,55.0,M,MB,Winnipeg,2023-04-11,1.7,Mortgage,2,1420.92,557.0,"$52,900",11,0,No,Y,,Divorced,Unemployed,2024-03-13,Yes
CUS10109,60.0,,B.C.,Vancouver,09/09/2023,1.3,Savings,3,2028.11,707.0,"$25,100",10,1,Y,N,Online Banking,Divorced,Retired,"July 07, 2024",No
CUS13531,54.0,male,QC,Gatineau,27/06/2011,13.5,Personal Loan,4,2549.07,640.0,29K,8,0,Yes,1,Mobile,Widowed,Part-Time,2013-01-01,No
CUS11355,41.0,,Newfoundland and Labrador,St. John's,30-Sep-2020,4.3,Personal Loan,4,"$1,883.14",649.0,25K,11,0,N,Yes,In-Branch,Divorced,Part-Time,03-02-2024,Yes
CUS12286,46.0,Male,MB,Brandon,07/10/2023,1.2,Credit Card,2,-348.67,740.0,"$74,800",36,0,Y,No,Phone,Married,Retired,2024-07-13,No
CUS10719,37.0,Male,newfoundland,Corner Brook,17-Aug-2016,8.4,RRSP,1,2722.66,748.0,23K,17,1,N,Yes,Online,Married,Part-Time,2023-12-30,No
CUS10512,45.0,MALE,Prince Edward Island,Charlottetown,2015-01-22,9.9,Personal Loan,3,13513.65,804.0,,1,3,Yes,No,branch,Divorced,Part-Time,2017-03-18,Yes
CUS12522,18.0,male,saskatchewan,Saskatoon,25/06/2012,12.5,Savings,2,"$4,522.12",572.0,86K,7,0,No,No,phone,Divorced,Unemployed,09-23-2014,
CUS14172,53.0,male,Manitoba,Winnipeg,12-Aug-2018,6.4,Credit Card,2,-1763.39,710.0,45300.0,7,0,Yes,No,phone,Single,Self-Employed,2019-11-19,No
CUS13507,55.0,M,NL,Corner Brook,12-11-2020,4.1,Chequing,2,$999.84,691.0,"$38,700",0,1,1,Yes,Phone Banking,Single,Retired,2022-03-29,No
CUS14159,44.0,F,NL,St. John's,13-Jun-2017,7.6,Chequing,3,"$4,586.56",751.0,41600.0,28,1,Yes,Yes,App,,Full-Time,05-03-2021,No
CUS13978,43.0,Female,AB,Calgary,2018-12-08,6.1,TFSA,1,2369.12,592.0,"$31,800",29,0,1,1,In-Branch,Divorced,Student,31-Jan-2020,No
CUS11583,46.0,FEMALE,BC,Victoria,30/01/2019,5.9,Savings,4,10645.44,725.0,"$67,800",9,1,Yes,No,Online banking,Divorced,Unemployed,04-Jul-2022,Yes
CUS13156,30.0,Female,Alta.,Red Deer,"April 02, 2013",11.7,TFSA,2,2151.68,675.0,47200.0,0,0,N,Yes,Mobile App,Widowed,Self-Employed,10-06-2013,No
CUS10363,57.0,MALE,QC,Laval,2023-07-04,1.5,Credit Card,5,-333.11,649.0,69800.0,12,1,Yes,Y,Branch ,Single,Student,01-17-2024,Yes
CUS10688,26.0,MALE,SK,Regina,08-21-2015,9.4,Chequing,1,6892.44,657.0,"$46,400",6,0,Yes,1,phone,Single,Student,03-18-2016,Yes
CUS12590,51.0,MALE,Quebec,Quebec City,2014-09-12,10.3,Personal Loan,3,8827.93,687.0,,29,1,Yes,N,Branch ,Single,Self-Employed,07/04/2015,No
CUS10888,65.0,male,nova scotia,Halifax,2016-03-09,8.8,Chequing,2,707.22,719.0,94K,30,0,No,No,Phone,Married,Unemployed,17/03/2020,No
CUS12749,61.0,male,NB,Saint John,2020-08-21,4.4,Credit Card,2,-181.16,706.0,71K,16,0,Yes,Yes,Branch ,,Student,2021-01-05,Yes
CUS10379,66.0,female,british columbia,Surrey,"April 15, 2011",13.7,Chequing,1,4520.26,616.0,"$30,800",1,0,1,Yes,mobile app,Widowed,,2011-09-20,Yes
CUS10534,35.0,female,pei,Charlottetown,2017-03-09,7.8,Mortgage,1,2013.67,565.0,62K,8,0,Yes,TRUE,phone,Divorced,Student,11/03/2018,Yes
CUS11777,39.0,Female,SK,Saskatoon,23/08/2021,3.4,Chequing,1,2026.46,652.0,62K,5,2,0,N,Mobile App,Married,Unemployed,2021-12-08,Yes
CUS10049,60.0,Male,New Brunswick,Moncton,05-11-2018,6.6,Credit Card,2,-535.48,681.0,73600.0,9,3,TRUE,No,In-Branch,Married,Part-Time,08/03/2023,Yes
CUS11180,81.0,F,Nova Scotia,Sydney,02-19-2015,9.9,RRSP,3,"$5,766.26",648.0,41500.0,13,0,Y,Yes,In-Branch,Widowed,Self-Employed,2015-06-29,Yes
CUS12297,54.0,Male,Ont., Hamilton ,2020-04-18,4.7,Personal Loan,5,4234.51,610.0,36K,3,0,Yes,Y,,Married,Retired,2023-05-14,No
CUS13114,48.0,M,Quebec,Quebec City,10-13-2023,1.2,Mortgage,1,4164.79,452.0,69900.0,8,1,Yes,Y,Phone,Single,Part-Time,2024-02-27,No
CUS12446,53.0,FEMALE,Prince Edward Island,Charlottetown,2022-01-08,3.0,TFSA,2,"$20,928.23",662.0,"$47,700",14,0,1,N,Online Banking,Widowed,Part-Time,30/12/2024,No
CUS13213,,male,NS,Halifax,2021-08-22,3.4,Savings,4,"$2,496.18",751.0,90K,12,1,FALSE,No,Branch ,Widowed,Student,21-Feb-2024,Yes
CUS11141,45.0,male,Alberta,Lethbridge,2011-07-02,13.5,Credit Card,2,-1600.3,348.0,"$37,700",19,0,Yes,1,Branch,Single,Self-Employed,2017-08-13,No
CUS13837,62.0,female,quebec,Quebec City,06-19-2014,10.5,Savings,2,6414.64,708.0,55K,15,1,Y,Yes,phone,Single,Retired,31/12/2016,No
CUS10702,43.0,M,ON,Hamilton,2010-01-04,15.0,Savings,3,2595.98,590.0,28K,23,2,Yes,Yes,In-Branch,Single,Unemployed,2010-08-01,Yes
CUS11164,22.0,Female,SK,Saskatoon,2022-08-22,2.4,Credit Card,3,"$1,373.39",900.0,24900.0,27,2,No,No,Phone Banking,Married,Retired,2024-01-23,Yes
CUS10501,43.0,male,QC,Laval,2019-08-04,5.4,TFSA,5,1369.64,488.0,66600.0,0,0,No,N,Online banking,Single,Student,2020-04-08,No
CUS10162,23.0,female,pei,Charlottetown,22/07/2018,6.4,Chequing,5,"$5,890.84",784.0,44K,1,0,No,No,Mobile App,Single,Full-Time,2022-11-03,No
CUS12209,39.0,female,MB,Winnipeg,2010-01-12,15.0,Credit Card,2,-573.98,699.0,44900.0,23,1,No,No,Phone Banking,Single,Part-Time,2024-09-20,No
CUS12324,61.0,male,B.C.,Victoria,2015-07-15,9.5,Savings,3,793.8,775.0,71K,0,0,1,0,Online Banking,Single,Full-Time,14-Dec-2018,No
CUS12509,64.0,male,pei,Charlottetown,24/12/2018,6.0,TFSA,5,"$2,352.76",604.0,61K,12,0,No,Yes,Online banking,Divorced,Full-Time,2021-05-09,No
CUS12222,50.0,female,newfoundland,St. John's,2014-10-01,10.3,Mortgage,1,"$4,449.86",647.0,81100.0,18,0,Yes,Yes,Online,Widowed,Full-Time,11-18-2014,Yes
CUS14128,29.0,MALE,MB,Winnipeg,2012-05-06,12.7,Credit Card,2,$-430.27,736.0,"$96,400",19,1,Yes,Y,In-Branch,Widowed,Part-Time,01-08-2023,Yes
CUS12994,52.0,Male,NL,St. John's,2011-08-02,13.4,Mortgage,1,"$1,718.74",646.0,42K,14,0,Yes,Yes,Online banking,Single,Full-Time,2020-08-22,No
CUS10721,23.0,Male,British Columbia,Victoria,10-Jan-2012,13.0,Savings,4,614.85,674.0,60400.0,16,0,FALSE,Yes,Phone,Single,Self-Employed,01-19-2021,No
CUS12730,,F,Prince Edward Island,Charlottetown,2020-05-23,4.6,Credit Card,1,8450.29,704.0,43400.0,3,1,Yes,0,Phone,Married,Full-Time,26/06/2020,Yes
CUS10052,55.0,Male,PE,Charlottetown,2010-03-04,14.8,Savings,1,2825.6,666.0,37400.0,18,0,N,N,Mobile,Divorced,Full-Time,2021-05-29,Yes
CUS10649,,Female,manitoba,Winnipeg,2014-02-24,10.9,Mortgage,2,$462.88,855.0,86K,13,0,1,Yes,Online banking,Single,Unemployed,07-05-2020,No
CUS11831,18.0,male,ontario,Mississauga,2010-02-28,14.8,TFSA,2,"$5,518.59",770.0,45K,11,0,1,No,Mobile App,Widowed,Unemployed,2019-08-26,No
CUS12058,36.0,male,Ontario,Ottawa,2010-07-12,14.5,TFSA,2,"$1,144.74",657.0,55K,16,0,No,N,App,Divorced,Retired,2021-12-08,No
CUS11126,40.0,NON-BINARY,saskatchewan,Saskatoon,2022-12-31,2.0,Chequing,2,1665.62,607.0,43K,14,0,No,Yes,mobile app,Single,Part-Time,2023-10-11,Yes
CUS12916,50.0,F,british columbia,Kelowna,18/05/2017,7.6,Personal Loan,2,588.35,688.0,22K,6,1,Yes,Yes,online,Married,Student,02-14-2018,No
CUS12729,54.0,Male,B.C.,Victoria,09-22-2022,2.3,Credit Card,1,$-379.41,801.0,40400.0,11,0,Yes,No,Branch,Single,Full-Time,10-23-2024,Yes
CUS13304,48.0,Male,ON,Ottawa,19-Dec-2016,8.0,Credit Card,2,38678.11,636.0,54100.0,35,0,No,Yes,In-Branch,Single,Student,2022-03-21,No
CUS10906,42.0,Female,british columbia,Surrey,2014-11-19,10.1,Chequing,1,55645.94,745.0,46K,20,0,Yes,1,phone,Widowed,Self-Employed,2022-02-03,Yes
CUS11927,43.0,M,Alta., Red Deer ,2011-09-18,13.3,RRSP,1,"$4,075.78",659.0,64K,0,1,1,No,Mobile App,Widowed,Retired,02-23-2013,No
CUS11097,29.0,FEMALE,british columbia,Victoria,16/10/2010,14.2,RRSP,1,549.94,791.0,64K,12,2,No,1,Phone Banking,Married,Full-Time,2023-05-29,Yes
CUS10163,38.0,MALE,newfoundland,St. John's,2019-07-08,5.5,Savings,2,"$3,025.48",686.0,"$30,400",23,0,No,N,Phone,Single,Part-Time,01-01-2020,No
CUS11681,,female,nova scotia,Halifax,02-02-2021,3.9,Credit Card,1,$-598.73,672.0,59700.0,7,1,Yes,No,App,Widowed,Retired,27-Oct-2023,Yes
CUS14038,35.0,Female,NB,Saint John,2021-10-02,3.2,TFSA,5,"$14,466.77",560.0,38K,14,0,Y,Yes,phone,Married,Full-Time,06/09/2022,No
CUS12765,57.0,Male,british columbia,Kelowna,2016-12-28,8.0,TFSA,4,"$1,455.11",557.0,"$45,000",15,0,Yes,Yes,Mobile App,Single,Retired,2021-12-06,No
CUS10842,37.0,Male,Manitoba,Winnipeg,2016-08-10,8.4,Credit Card,2,-1085.5,519.0,35500.0,17,0,N,TRUE,Mobile App,Divorced,Student,22-May-2024,No
CUS12346,38.0,F,ontario,Hamilton,2011-01-02,14.0,Chequing,4,9479.93,613.0,54K,21,0,No,Yes,Branch ,Single,,2024-10-06,No
CUS11421,21.0,M,alberta,Lethbridge,14/12/2023,1.0,RRSP,3,14983.35,796.0,50400.0,12,4,Yes,Yes,phone,,Student,2024-03-16,Yes
CUS12306,40.0,Female,NL,Corner Brook,2018-10-13,6.2,Savings,3,"$1,045.07",640.0,"$59,200",3,0,TRUE,Y,phone,Single,Self-Employed,"March 04, 2022",Yes
CUS10450,34.0,male,saskatchewan,Regina,"March 04, 2012",12.8,RRSP,4,2183.91,543.0,18000.0,3,1,No,No,phone,Widowed,Retired,2019-05-26,Yes
CUS12611,,Non-binary,saskatchewan,Saskatoon,"August 05, 2011",,Personal Loan,4,3021.55,663.0,"$100,300",15,1,Yes,1,Phone Banking,Married,,2012-02-05,Yes
CUS13860,58.0,female,New Brunswick,Saint John,2017-04-15,7.7,Savings,3,"$6,459.72",573.0,,10,2,1,Yes,Mobile,Divorced,Unemployed,09-Jul-2019,Yes
CUS14200,43.0,FEMALE,ON,Ottawa,2020-07-28,4.4,Personal Loan,3,8158.41,690.0,32K,14,0,No,0,Mobile App,Widowed,Unemployed,2024-04-23,Yes
CUS10663,58.0,MALE,NL,Corner Brook,03/08/2010,14.4,RRSP,2,6975.49,655.0,46K,12,0,Yes,N,In-Branch,Married,Part-Time,2022-08-09,No
CUS12758,44.0,F,ontario,Hamilton,02/06/2022,2.6,Mortgage,2,"$1,767.71",632.0,66100.0,5,0,No,Yes,Mobile App,Widowed,Unemployed,2022-08-25,Yes
CUS11727,63.0,FEMALE,Ont.,Mississauga,2014-01-06,11.0,Credit Card,3,18157.79,696.0,"$71,800",20,0,No,Yes,Branch ,Divorced,Unemployed,05/01/2017,Yes
CUS11523,41.0,MALE,British Columbia,Vancouver,2015-03-18,9.8,TFSA,5,8165.6,,33K,23,0,Yes,No,App,Married,,09-15-2015,No
CUS12714,30.0,Male,manitoba,Brandon,2021-06-16,3.5,TFSA,2,"$2,115.29",607.0,"$77,600",7,0,TRUE,0,branch,Married,Part-Time,2023-06-17,No
CUS11381,58.0,Male,NL,Corner Brook,02/03/2022,2.8,Savings,3,640.17,561.0,69000.0,12,0,0,No,Online banking,Single,Self-Employed,2024-02-14,No
CUS13925,,Male,QC,Gatineau,08/07/2013,11.5,Savings,3,9142.97,834.0,34K,20,0,Y,N,Online Banking,Widowed,Part-Time,2019-10-07,No
CUS13797,62.0,M,B.C.,Victoria,06-08-2017,7.6,Personal Loan,3,"$15,855.25",737.0,47K,21,0,Yes,No,Branch,Divorced,,2020-06-06,No
CUS12271,28.0,M,Prince Edward Island, Charlottetown ,22/06/2010,14.5,Mortgage,4,9297.27,654.0,48K,23,1,N,Yes,Online Banking,Married,Student,2010-12-02,No
CUS11644,46.0,female,Ontario,Hamilton,2012-07-05,12.5,Credit Card,1,-692.75,786.0,"$77,300",15,0,Y,Y,Online,Single,Retired,2019-12-23,Yes
CUS12517,54.0,female,Prince Edward Island,Charlottetown,09-01-2018,6.3,Savings,1,2321.67,682.0,,14,0,No,No,Online Banking,Widowed,Self-Employed,2021-02-22,No
CUS11697,,MALE,Prince Edward Island,Charlottetown,2019-03-25,5.8,RRSP,1,4744.84,672.0,"$43,000",25,0,Yes,No,branch,Married,Unemployed,2022-08-22,No
CUS12523,51.0,Female,ON,Toronto,"July 31, 2020",4.4,TFSA,1,5107.53,607.0,"$71,800",11,0,No,No,Mobile,Divorced,Self-Employed,14/08/2021,No
CUS13736,35.0,MALE,BC,Surrey,2018-04-02,6.7,RRSP,1,539.37,693.0,46400.0,10,0,No,Yes,Mobile,Single,Self-Employed,"June 05, 2022",No
CUS11934,55.0,F,pei,Charlottetown,2014-04-06,10.7,RRSP,5,17238.14,744.0,22K,25,0,No,TRUE,Phone Banking,Single,Full-Time,2021-04-01,No
CUS10188,42.0,MALE,NS,Halifax,2012-12-11,12.1,Savings,4,726.7,610.0,60K,17,0,Yes,Y,App,Widowed,Retired,19/02/2019,No
CUS13580,47.0,male,NL,Corner Brook,2010-06-27,14.5,Savings,3,"$123,993.30",708.0,119700.0,18,0,N,Yes,Mobile App,Widowed,Self-Employed,"August 24, 2019",No
CUS10654,18.0,Female,Newfoundland and Labrador,Corner Brook,04-06-2018,6.7,TFSA,4,"$1,712.74",863.0,61900.0,17,0,Yes,0,phone,Married,Retired,2022-09-22,
CUS10733,27.0,female,NL,Corner Brook,"August 14, 2010",,Credit Card,1,$-347.40,646.0,"$72,400",11,0,Yes,TRUE,In-Branch,Widowed,Student,2019-05-26,No
CUS11915,36.0,M,Ontario,Toronto,2015-11-22,9.1,Personal Loan,1,2388.5,661.0,47K,27,1,N,Y,In-Branch,Single,Full-Time,2021-05-23,
CUS12920,33.0,Male,BC,Surrey,2016-01-18,9.0,Mortgage,3,6450.47,650.0,"$37,300",22,0,No,Yes,Mobile,Single,Full-Time,24/10/2023,No
CUS13866,33.0,Male,Que., Quebec City ,04-05-2019,5.7,Credit Card,3,11107.84,560.0,"$116,700",11,0,No,Yes,Online Banking,Married,Full-Time,2020-04-26,No
CUS14173,32.0,Male,Alta.,Lethbridge,02-11-2023,1.9,Chequing,2,21446.66,623.0,"$43,800",27,0,Yes,Yes,Branch,Divorced,Self-Employed,2024-03-18,Yes
CUS13777,27.0,FEMALE,british columbia,Victoria,2016-11-04,8.2,Credit Card,2,"$-1,013.02",632.0,"$52,700",11,1,No,0,mobile app,Single,Student,2019-02-23,Yes
CUS12210,42.0,M,Saskatchewan,Regina,"February 29, 2016",8.8,Chequing,2,"$3,542.43",740.0,59K,21,0,Y,No,Mobile App,Widowed,,28/09/2023,No
CUS11730,57.0,Female,B.C.,Victoria,2012-01-26,12.9,Chequing,1,37224.99,690.0,33K,19,0,N,Yes,Branch,Widowed,Self-Employed,04-22-2016,Yes
CUS11716,,male,ON,Toronto,03-08-2015,9.8,Personal Loan,1,3850.87,732.0,66000.0,0,0,Yes,TRUE,Online banking,Divorced,Self-Employed,24/05/2018,Yes
CUS13574,70.0,MALE,NS,Halifax,2013-10-01,11.2,Savings,1,15572.76,557.0,"$113,900",8,0,No,N,App,Single,Self-Employed,2015-07-24,No
CUS13185,34.0,F,Saskatchewan, Saskatoon ,2012-10-25,12.2,TFSA,1,"$5,008.66",639.0,"$39,800",18,0,No,No,mobile app,Married,Part-Time,14/02/2015,Yes
CUS12196,45.0,,new brunswick,Moncton,2013-02-01,,Credit Card,3,"$-1,271.29",610.0,"$88,800",14,0,No,No,Phone Banking,Widowed,Part-Time,2024-03-07,No
CUS12302,54.0,FEMALE,saskatchewan,Regina,2016-12-31,8.0,TFSA,4,9648.17,758.0,27K,25,0,1,Yes,online,Widowed,Unemployed,2024-12-30,No
CUS13846,42.0,FEMALE,saskatchewan, Saskatoon ,2013-11-11,11.1,TFSA,1,9269.75,727.0,"$230,200",8,2,Y,Yes,App,Single,Self-Employed,08-18-2014,Yes
CUS14186,44.0,Male,quebec,Montreal,11/03/2019,5.8,Personal Loan,3,"$18,787.88",570.0,36800.0,7,0,No,Yes,online,Widowed,Retired,2022-01-28,No
CUS10099,23.0,Male,SK,Saskatoon,2022-07-20,2.5,Savings,2,"$1,314.34",659.0,"$74,100",18,3,No,Yes,Phone Banking,Single,Self-Employed,2023-06-23,Yes
CUS10980,48.0,M,BC,Victoria,03-21-2012,12.8,Chequing,4,$150.15,662.0,105100.0,5,1,N,Yes,Online Banking,Married,Retired,29/03/2019,No
CUS10604,30.0,female,ontario, Mississauga ,30-Oct-2022,2.2,Savings,1,3153.71,766.0,68K,20,0,0,No,Branch,Divorced,,2024-08-19,No
CUS13026,38.0,Female,SK,Regina,01/07/2017,7.5,Chequing,3,12346.2,685.0,56K,14,0,1,Yes,Online banking,Divorced,Retired,2021-01-04,Yes
